currSessionId,currGameId,currGameCondition,currGameRoundId,currGamePhase,playerId,playerType,mood
"041834AQH['CI', 'RANDOM', 'RANDOM']",88,"['DI', 'RANDOM', 'RANDOM']",10,BUDGET_ALLOCATION,0,AI-EMOTIONAL-CONSTRUCTIVE-COLLECTIVIST,9.89
"041834AQH['CI', 'RANDOM', 'RANDOM']",88,"['DI', 'RANDOM', 'RANDOM']",12,BUDGET_ALLOCATION,0,AI-EMOTIONAL-CONSTRUCTIVE-COLLECTIVIST,9.89
"041834AQH['CI', 'RANDOM', 'RANDOM']",88,"['DI', 'RANDOM', 'RANDOM']",13,BUDGET_ALLOCATION,0,AI-EMOTIONAL-CONSTRUCTIVE-COLLECTIVIST,9.89
"041834AQH['CI', 'RANDOM', 'RANDOM']",88,"['DI', 'RANDOM', 'RANDOM']",15,BUDGET_ALLOCATION,0,AI-EMOTIONAL-CONSTRUCTIVE-COLLECTIVIST,9.89
"041834AQH['CI', 'RANDOM', 'RANDOM']",88,"['DI', 'RANDOM', 'RANDOM']",14,BUDGET_ALLOCATION,0,AI-EMOTIONAL-CONSTRUCTIVE-COLLECTIVIST,9.89
"041834AQH['CI', 'RANDOM', 'RANDOM']",88,"['DI', 'RANDOM', 'RANDOM']",16,BUDGET_ALLOCATION,0,AI-EMOTIONAL-CONSTRUCTIVE-COLLECTIVIST,9.89
"041834AQH['CI', 'RANDOM', 'RANDOM']",88,"['DI', 'RANDOM', 'RANDOM']",17,BUDGET_ALLOCATION,0,AI-EMOTIONAL-CONSTRUCTIVE-COLLECTIVIST,9.89
"041834AQH['CI', 'RANDOM', 'RANDOM']",88,"['DI', 'RANDOM', 'RANDOM']",18,BUDGET_ALLOCATION,0,AI-EMOTIONAL-CONSTRUCTIVE-COLLECTIVIST,9.89
"041834AQH['CI', 'RANDOM', 'RANDOM']",88,"['DI', 'RANDOM', 'RANDOM']",19,BUDGET_ALLOCATION,0,AI-EMOTIONAL-CONSTRUCTIVE-COLLECTIVIST,9.89
"041834AQH['CI', 'RANDOM', 'RANDOM']",88,"['DI', 'RANDOM', 'RANDOM']",20,BUDGET_ALLOCATION,0,AI-EMOTIONAL-CONSTRUCTIVE-COLLECTIVIST,9.89
"041834AQH['CI', 'RANDOM', 'RANDOM']",88,"['DI', 'RANDOM', 'RANDOM']",21,BUDGET_ALLOCATION,0,AI-EMOTIONAL-CONSTRUCTIVE-COLLECTIVIST,9.89
"041834AQH['CI', 'RANDOM', 'RANDOM']",88,"['DI', 'RANDOM', 'RANDOM']",23,BUDGET_ALLOCATION,0,AI-EMOTIONAL-CONSTRUCTIVE-COLLECTIVIST,9.89
