currSessionId,currGameId,currRoundId,playerId,playerType,playerCurrInvestEcon,playerCurrInvestEnv,envState
"222028SMT['CC', 'CC', 'CI']",25,89,CompetitiveCooperativeEmotionalAIPlayer,CompetitiveCooperativeEmotionalAIPlayer,0,5,26.57999
"222028SMT['CC', 'CC', 'CI']",25,89,CompetitiveCooperativeEmotionalAIPlayer,CompetitiveCooperativeEmotionalAIPlayer,0,5,26.57999
"222028SMT['CC', 'CC', 'CI']",25,89,CompetitiveCooperativeEmotionalAIPlayer,CompetitiveCooperativeEmotionalAIPlayer,0,5,26.57999
"222028SMT['CC', 'CC', 'CI']",25,90,CompetitiveCooperativeEmotionalAIPlayer,CompetitiveCooperativeEmotionalAIPlayer,0,5,26.9
"222028SMT['CC', 'CC', 'CI']",25,90,CompetitiveCooperativeEmotionalAIPlayer,CompetitiveCooperativeEmotionalAIPlayer,0,5,26.9
"222028SMT['CC', 'CC', 'CI']",25,90,CompetitiveCooperativeEmotionalAIPlayer,CompetitiveCooperativeEmotionalAIPlayer,0,5,26.9
"222028SMT['CC', 'CC', 'CI']",25,91,CompetitiveCooperativeEmotionalAIPlayer,CompetitiveCooperativeEmotionalAIPlayer,0,5,27.32999
"222028SMT['CC', 'CC', 'CI']",25,91,CompetitiveCooperativeEmotionalAIPlayer,CompetitiveCooperativeEmotionalAIPlayer,0,5,27.32999
"222028SMT['CC', 'CC', 'CI']",25,91,CompetitiveCooperativeEmotionalAIPlayer,CompetitiveCooperativeEmotionalAIPlayer,0,5,27.32999
"222028SMT['CC', 'CC', 'CI']",25,92,CompetitiveCooperativeEmotionalAIPlayer,CompetitiveCooperativeEmotionalAIPlayer,0,5,27.66999
"222028SMT['CC', 'CC', 'CI']",25,93,CompetitiveCooperativeEmotionalAIPlayer,CompetitiveCooperativeEmotionalAIPlayer,0,5,27.95
"222028SMT['CC', 'CC', 'CI']",25,93,CompetitiveCooperativeEmotionalAIPlayer,CompetitiveCooperativeEmotionalAIPlayer,0,5,27.95
"222028SMT['CC', 'CC', 'CI']",25,92,CompetitiveCooperativeEmotionalAIPlayer,CompetitiveCooperativeEmotionalAIPlayer,0,5,27.66999
"222028SMT['CC', 'CC', 'CI']",25,92,CompetitiveCooperativeEmotionalAIPlayer,CompetitiveCooperativeEmotionalAIPlayer,0,5,27.66999
"222028SMT['CC', 'CC', 'CI']",25,93,CompetitiveCooperativeEmotionalAIPlayer,CompetitiveCooperativeEmotionalAIPlayer,1,4,27.95
"222028SMT['CC', 'CC', 'CI']",25,94,CompetitiveCooperativeEmotionalAIPlayer,CompetitiveCooperativeEmotionalAIPlayer,0,5,28.33999
"222028SMT['CC', 'CC', 'CI']",25,94,CompetitiveCooperativeEmotionalAIPlayer,CompetitiveCooperativeEmotionalAIPlayer,1,4,28.33999
"222028SMT['CC', 'CC', 'CI']",25,94,CompetitiveCooperativeEmotionalAIPlayer,CompetitiveCooperativeEmotionalAIPlayer,0,5,28.33999
"222028SMT['CC', 'CC', 'CI']",25,95,CompetitiveCooperativeEmotionalAIPlayer,CompetitiveCooperativeEmotionalAIPlayer,0,5,28.65
"222028SMT['CC', 'CC', 'CI']",25,95,CompetitiveCooperativeEmotionalAIPlayer,CompetitiveCooperativeEmotionalAIPlayer,1,4,28.65
"222028SMT['CC', 'CC', 'CI']",25,95,CompetitiveCooperativeEmotionalAIPlayer,CompetitiveCooperativeEmotionalAIPlayer,1,4,28.65
"222028SMT['CC', 'CC', 'CI']",25,96,CompetitiveCooperativeEmotionalAIPlayer,CompetitiveCooperativeEmotionalAIPlayer,0,5,28.81
"222028SMT['CC', 'CC', 'CI']",25,96,CompetitiveCooperativeEmotionalAIPlayer,CompetitiveCooperativeEmotionalAIPlayer,0,5,28.81
"222028SMT['CC', 'CC', 'CI']",25,97,CompetitiveCooperativeEmotionalAIPlayer,CompetitiveCooperativeEmotionalAIPlayer,0,5,29.15999
"222028SMT['CC', 'CC', 'CI']",25,96,CompetitiveCooperativeEmotionalAIPlayer,CompetitiveCooperativeEmotionalAIPlayer,0,5,28.81
"222028SMT['CC', 'CC', 'CI']",25,97,CompetitiveCooperativeEmotionalAIPlayer,CompetitiveCooperativeEmotionalAIPlayer,0,5,29.15999
"222028SMT['CC', 'CC', 'CI']",25,97,CompetitiveCooperativeEmotionalAIPlayer,CompetitiveCooperativeEmotionalAIPlayer,0,5,29.15999
"222028SMT['CC', 'CC', 'CI']",25,98,CompetitiveCooperativeEmotionalAIPlayer,CompetitiveCooperativeEmotionalAIPlayer,0,5,29.45999
"222028SMT['CC', 'CC', 'CI']",25,98,CompetitiveCooperativeEmotionalAIPlayer,CompetitiveCooperativeEmotionalAIPlayer,0,5,29.45999
"222028SMT['CC', 'CC', 'CI']",25,98,CompetitiveCooperativeEmotionalAIPlayer,CompetitiveCooperativeEmotionalAIPlayer,0,5,29.45999
"222028SMT['CC', 'CC', 'CI']",25,99,CompetitiveCooperativeEmotionalAIPlayer,CompetitiveCooperativeEmotionalAIPlayer,0,5,29.83999
