currSessionId,currGameId,currGameRoundId,Name,playerId,playerType,amountEnv,amountEcon
241531OVI2Coop1Rand,26,1,,0,AIPlayerRandom,4,1
241531OVI2Coop1Rand,26,1,,1,AIPlayerRandom,1,4
241531OVI2Coop1Rand,26,1,,2,AIPlayerRandom,2,3
241531OVI2Coop1Rand,26,2,,0,AIPlayerRandom,4,1
241531OVI2Coop1Rand,26,2,,1,AIPlayerRandom,5,0
241531OVI2Coop1Rand,26,2,,2,AIPlayerRandom,1,4
241531OVI2Coop1Rand,26,3,,1,AIPlayerRandom,1,4
241531OVI2Coop1Rand,26,3,,2,AIPlayerRandom,2,3
241531OVI2Coop1Rand,26,3,,0,AIPlayerRandom,0,5
241531OVI2Coop1Rand,27,0,,0,AIPlayerRandom,1,4
241531OVI2Coop1Rand,27,0,,1,AIPlayerRandom,0,5
241531OVI2Coop1Rand,27,0,,2,AIPlayerRandom,4,1
241531OVI2Coop1Rand,28,0,,0,AIPlayerRandom,5,0
241531OVI2Coop1Rand,28,0,,1,AIPlayerRandom,0,5
241531OVI2Coop1Rand,28,0,,2,AIPlayerRandom,2,3
241531OVI2Coop1Rand,28,1,,0,AIPlayerRandom,5,0
241531OVI2Coop1Rand,28,1,,1,AIPlayerRandom,3,2
241531OVI2Coop1Rand,28,1,,2,AIPlayerRandom,3,2
241531OVI2Coop1Rand,28,2,,2,AIPlayerRandom,0,5
241531OVI2Coop1Rand,28,2,,0,AIPlayerRandom,3,2
241531OVI2Coop1Rand,28,2,,1,AIPlayerRandom,4,1
241531OVI2Coop1Rand,28,3,,0,AIPlayerRandom,3,2
241531OVI2Coop1Rand,28,3,,2,AIPlayerRandom,2,3
241531OVI2Coop1Rand,28,3,,1,AIPlayerRandom,3,2
241531OVI2Coop1Rand,29,0,,1,AIPlayerRandom,4,1
241531OVI2Coop1Rand,29,0,,2,AIPlayerRandom,4,1
241531OVI2Coop1Rand,29,0,,0,AIPlayerRandom,3,2
241531OVI2Coop1Rand,29,1,,1,AIPlayerRandom,2,3
241531OVI2Coop1Rand,29,1,,0,AIPlayerRandom,3,2
241531OVI2Coop1Rand,29,1,,2,AIPlayerRandom,0,5
241531OVI2Coop1Rand,29,2,,1,AIPlayerRandom,0,5
241531OVI2Coop1Rand,29,2,,0,AIPlayerRandom,0,5
241531OVI2Coop1Rand,29,2,,2,AIPlayerRandom,4,1
241531OVI2Coop1Rand,29,3,,0,AIPlayerRandom,3,2
241531OVI2Coop1Rand,29,3,,2,AIPlayerRandom,0,5
241531OVI2Coop1Rand,29,3,,1,AIPlayerRandom,2,3
241531OVI2Coop1Rand,30,0,,0,AIPlayerRandom,3,2
241531OVI2Coop1Rand,30,0,,1,AIPlayerRandom,2,3
241531OVI2Coop1Rand,30,0,,2,AIPlayerRandom,1,4
241531OVI2Coop1Rand,31,0,,1,AIPlayerRandom,5,0
241531OVI2Coop1Rand,31,0,,0,AIPlayerRandom,5,0
241531OVI2Coop1Rand,31,1,,1,AIPlayerRandom,2,3
241531OVI2Coop1Rand,31,0,,2,AIPlayerRandom,1,4
241531OVI2Coop1Rand,31,1,,0,AIPlayerRandom,4,1
241531OVI2Coop1Rand,31,1,,2,AIPlayerRandom,5,0
241531OVI2Coop1Rand,31,2,,0,AIPlayerRandom,2,3
241531OVI2Coop1Rand,31,2,,1,AIPlayerRandom,0,5
241531OVI2Coop1Rand,31,2,,2,AIPlayerRandom,3,2
241531OVI2Coop1Rand,31,3,,0,AIPlayerRandom,2,3
241531OVI2Coop1Rand,31,3,,1,AIPlayerRandom,3,2
241531OVI2Coop1Rand,31,3,,2,AIPlayerRandom,1,4
241531OVI2Coop1Rand,32,0,,0,AIPlayerRandom,0,5
241531OVI2Coop1Rand,32,0,,1,AIPlayerRandom,2,3
241531OVI2Coop1Rand,32,0,,2,AIPlayerRandom,3,2
241531OVI2Coop1Rand,33,0,,0,AIPlayerRandom,2,3
241531OVI2Coop1Rand,33,0,,2,AIPlayerRandom,1,4
241531OVI2Coop1Rand,33,0,,1,AIPlayerRandom,3,2
241531OVI2Coop1Rand,33,1,,0,AIPlayerRandom,3,2
241531OVI2Coop1Rand,33,1,,1,AIPlayerRandom,4,1
241531OVI2Coop1Rand,33,1,,2,AIPlayerRandom,5,0
241531OVI2Coop1Rand,33,2,,1,AIPlayerRandom,3,2
241531OVI2Coop1Rand,33,2,,2,AIPlayerRandom,2,3
241531OVI2Coop1Rand,33,2,,0,AIPlayerRandom,2,3
241531OVI2Coop1Rand,33,3,,0,AIPlayerRandom,0,5
241531OVI2Coop1Rand,33,3,,1,AIPlayerRandom,3,2
241531OVI2Coop1Rand,33,3,,2,AIPlayerRandom,5,0
241531OVI2Coop1Rand,34,0,,0,AIPlayerRandom,0,5
241531OVI2Coop1Rand,34,0,,1,AIPlayerRandom,2,3
