sessionId,gameId,roundId,playerId,condition,gameState,envState,playerEconState,playerType,playerInvestEcon,playerInvestEnv,playerInvHistEcon,playerInvHistEnv,strongestEmotionType,strongestEmotionIntensity,activeEmotions_Hate,activeEmotions_Reproach,activeEmotions_Shame,activeEmotions_Anger,activeEmotions_Remorse,activeEmotions_Distress,activeEmotions_Fear,activeEmotions_Disappointment,activeEmotions_FearConfirmed,activeEmotions_Pity,activeEmotions_Resentment,activeEmotions_Love,activeEmotions_Admiration,activeEmotions_Pride,activeEmotions_Gratitude,activeEmotions_Gratification,activeEmotions_Joy,activeEmotions_Hope,activeEmotions_Relief,activeEmotions_Satisfaction,activeEmotions_Gloating,activeEmotions_HappyFor,mood
"122357NUI['CC', 'CC', 'CI']",1,7,0,"['CC', 'CC', 'CI']",NOT_FINISHED,0.7799999,0,AI-EMOTIONAL-CONSTRUCTIVE-COLLECTIVIST,0,5,5,35,Reproach,7.83,0.00,7.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-9.66
"122357NUI['CC', 'CC', 'CI']",1,7,2,"['CC', 'CC', 'CI']",NOT_FINISHED,0.7799999,0.56,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,4,1,34,6,Admiration,7.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.83,0.00,0.00,0.00,4.07,2.80,0.00,0.00,0.00,0.00,9.66
"122357NUI['CC', 'CC', 'CI']",1,7,1,"['CC', 'CC', 'CI']",NOT_FINISHED,0.7799999,0,AI-EMOTIONAL-CONSTRUCTIVE-COLLECTIVIST,0,5,2,38,Reproach,7.83,0.00,7.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-9.66
"122357NUI['CC', 'CC', 'CI']",1,8,1,"['CC', 'CC', 'CI']",NOT_FINISHED,0.67,0,AI-EMOTIONAL-CONSTRUCTIVE-COLLECTIVIST,0,5,2,43,Reproach,7.83,0.00,7.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-9.66
"122357NUI['CC', 'CC', 'CI']",1,9,2,"['CC', 'CC', 'CI']",NOT_FINISHED,0.71,0.71,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,5,0,44,6,Admiration,7.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.83,0.00,0.00,0.00,4.07,2.80,0.00,0.00,0.00,0.00,9.66
"122357NUI['CC', 'CC', 'CI']",1,8,0,"['CC', 'CC', 'CI']",NOT_FINISHED,0.67,0,AI-EMOTIONAL-CONSTRUCTIVE-COLLECTIVIST,0,5,5,40,Reproach,7.83,0.00,7.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-9.66
"122357NUI['CC', 'CC', 'CI']",1,8,2,"['CC', 'CC', 'CI']",NOT_FINISHED,0.67,0.6300001,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,5,0,39,6,Admiration,7.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.83,0.00,0.00,0.00,4.07,2.80,0.00,0.00,0.00,0.00,9.66
"122357NUI['CC', 'CC', 'CI']",1,9,0,"['CC', 'CC', 'CI']",NOT_FINISHED,0.71,0,AI-EMOTIONAL-CONSTRUCTIVE-COLLECTIVIST,1,4,6,44,Reproach,7.83,0.00,7.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-9.66
"122357NUI['CC', 'CC', 'CI']",1,9,1,"['CC', 'CC', 'CI']",NOT_FINISHED,0.71,0,AI-EMOTIONAL-CONSTRUCTIVE-COLLECTIVIST,0,5,2,48,Reproach,7.83,0.00,7.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-9.66
"122357NUI['CC', 'CC', 'CI']",1,10,1,"['CC', 'CC', 'CI']",NOT_FINISHED,0.74,0,AI-EMOTIONAL-CONSTRUCTIVE-COLLECTIVIST,0,5,2,53,Reproach,7.83,0.00,7.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-9.66
"122357NUI['CC', 'CC', 'CI']",1,10,0,"['CC', 'CC', 'CI']",NOT_FINISHED,0.74,0,AI-EMOTIONAL-CONSTRUCTIVE-COLLECTIVIST,0,5,6,49,Reproach,7.83,0.00,7.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-9.66
