sessionId,currGameId,condition,outcome,env_state,playerId_0_pos,playerId_0_type,playerId_0_econ_state,playerId_0_econ_history_perc,playerId_0_env_history_perc,playerId_1_pos,playerId_1_type,playerId_1_econ_state,playerId_1_econ_history_perc,playerId_1_env_history_perc,playerId_2_pos,playerId_2_type,playerId_2_econ_state,playerId_2_econ_history_perc,playerId_2_env_history_perc
"042038KKZ['CC', 'CC', 'CI']",1825,"['CC', 'CI', 'CI']",VICTORY,0.59,2,Competitive,0,0,1,1,Competitive,0.11,0.4,0.6,0,Competitive,0.14,0.4,0.6
"042038KKZ['CC', 'CC', 'CI']",1826,"['CC', 'CI', 'DC']",VICTORY,0.7999999,1,Competitive,0,0.15,0.85,0,Competitive,0.09,0.35,0.65,2,Cooperative,0,0,1
"042038KKZ['CC', 'CC', 'CI']",1827,"['CC', 'CI', 'DI']",VICTORY,0.67,2,Competitive,0,0.1,0.9,0,Competitive,0.21,0.4,0.6,1,Cooperative,0.05000002,0.35,0.65
"042038KKZ['CC', 'CC', 'CI']",1828,"['CC', 'CI', 'RANDOM']",VICTORY,0.76,1,Competitive,0,0,1,0,Competitive,0.14,0.4,0.6,2,AIPlayerRandom,0,0.2,0.8
"042038KKZ['CC', 'CC', 'CI']",1829,"['CC', 'DC', 'DC']",VICTORY,1,0,Competitive,0,0,1,1,Cooperative,0,0.05,0.95,2,Cooperative,0,0.05,0.95
"042038KKZ['CC', 'CC', 'CI']",1830,"['CC', 'DC', 'DI']",VICTORY,0.7600001,2,Competitive,0,0.1,0.9,1,Cooperative,0,0,1,0,Cooperative,0.12,0.45,0.55
"042038KKZ['CC', 'CC', 'CI']",1831,"['CC', 'DC', 'RANDOM']",VICTORY,0.8300001,1,Competitive,0.03,0.05,0.95,2,Cooperative,0,0,1,0,AIPlayerRandom,0.12,0.45,0.55
"042038KKZ['CC', 'CC', 'CI']",1832,"['CC', 'DI', 'DI']",VICTORY,0.42,2,Competitive,0,0.15,0.85,1,Cooperative,0.08,0.35,0.65,0,Cooperative,0.18,0.35,0.65
"042038KKZ['CC', 'CC', 'CI']",1833,"['CC', 'DI', 'RANDOM']",VICTORY,0.8600001,2,Competitive,0,0.05,0.95,1,Cooperative,0.03000001,0.25,0.75,0,AIPlayerRandom,0.12,0.45,0.55
"042038KKZ['CC', 'CC', 'CI']",1834,"['CC', 'RANDOM', 'RANDOM']",VICTORY,0.77,1,Competitive,0,0.05,0.95,0,AIPlayerRandom,0.3,0.65,0.35,2,AIPlayerRandom,0,0.15,0.85
"042038KKZ['CC', 'CC', 'CI']",1835,"['CI', 'CI', 'CI']",VICTORY,0.38,0,Competitive,0.24,0.5,0.5,1,Competitive,0.18,0.5,0.5,2,Competitive,0.04,0.25,0.75
"042038KKZ['CC', 'CC', 'CI']",1836,"['CI', 'CI', 'DC']",VICTORY,0.5499999,0,Competitive,0.26,0.55,0.45,1,Competitive,0.24,0.65,0.35,2,Cooperative,0,0,1
"042038KKZ['CC', 'CC', 'CI']",1837,"['CI', 'CI', 'DI']",VICTORY,0.62,1,Competitive,0.11,0.4,0.6,2,Competitive,0.02,0.4,0.6,0,Cooperative,0.15,0.35,0.65
"042038KKZ['CC', 'CC', 'CI']",1838,"['CI', 'CI', 'RANDOM']",VICTORY,0.06000002,0,Competitive,0.3,0.55,0.45,1,Competitive,0.13,0.45,0.55,2,AIPlayerRandom,0.13,0.4,0.6
"042038KKZ['CC', 'CC', 'CI']",1839,"['CI', 'DC', 'DC']",VICTORY,0.8699999,0,Competitive,0.09999999,0.4,0.6,1,Cooperative,0,0.05,0.95,2,Cooperative,0,0.05,0.95
"042038KKZ['CC', 'CC', 'CI']",1840,"['CI', 'DC', 'DI']",VICTORY,0.54,1,Competitive,0.17,0.35,0.65,2,Cooperative,0,0.05,0.95,0,Cooperative,0.26,0.35,0.65
"042038KKZ['CC', 'CC', 'CI']",1841,"['CI', 'DC', 'RANDOM']",VICTORY,0.5999998,1,Competitive,0.08000001,0.4,0.6,2,Cooperative,0,0,1,0,AIPlayerRandom,0.14,0.4,0.6
"042038KKZ['CC', 'CC', 'CI']",1842,"['CI', 'DI', 'DI']",VICTORY,0.5100001,0,Competitive,0.12,0.3,0.7,2,Cooperative,0.06,0.35,0.65,1,Cooperative,0.11,0.35,0.65
"042038KKZ['CC', 'CC', 'CI']",1843,"['CI', 'DI', 'RANDOM']",VICTORY,0.53,2,Competitive,0,0.25,0.75,0,Cooperative,0.14,0.4,0.6,1,AIPlayerRandom,0.07000002,0.45,0.55
"042038KKZ['CC', 'CC', 'CI']",1844,"['CI', 'RANDOM', 'RANDOM']",VICTORY,0.19,2,Competitive,0.08,0.3,0.7,1,AIPlayerRandom,0.16,0.55,0.45,0,AIPlayerRandom,0.34,0.65,0.35
"042038KKZ['CC', 'CC', 'CI']",1845,"['DC', 'DC', 'DC']",VICTORY,1,0,Cooperative,0,0.05,0.95,1,Cooperative,0,0.1,0.9,2,Cooperative,0,0.05,0.95
"042038KKZ['CC', 'CC', 'CI']",1846,"['DC', 'DC', 'DI']",VICTORY,1,2,Cooperative,0,0,1,1,Cooperative,0,0,1,0,Cooperative,0.09999999,0.35,0.65
"042038KKZ['CC', 'CC', 'CI']",1847,"['DC', 'DC', 'RANDOM']",VICTORY,0.9,0,Cooperative,0,0,1,1,Cooperative,0,0.05,0.95,2,AIPlayerRandom,0,0.25,0.75
