sessionId,currGameId,Id,Name,type
,120,1,CI,
,120,2,CI,
,120,0,CI,
,121,2,DC,
,121,1,CI,
,121,0,CI,
,122,1,CI,
,122,0,CI,
,122,2,DI,
,123,0,CI,
,123,1,CI,
,123,2,RANDOM,
,124,0,CI,
,124,1,DC,
,124,2,DC,
,125,1,DC,
,125,2,DI,
,125,0,CI,
,126,1,DC,
,126,2,RANDOM,
,126,0,CI,
,127,2,DI,
,127,0,CI,
,127,1,DI,
,128,0,CI,
,128,2,RANDOM,
,128,1,DI,
,129,2,RANDOM,
,129,0,CI,
,129,1,RANDOM,
,130,2,DC,
,130,1,DC,
,130,0,DC,
,131,2,DI,
,131,1,DC,
,131,0,DC,
,132,1,DC,
,132,0,DC,
,132,2,RANDOM,
,133,2,DI,
,133,1,DI,
,133,0,DC,
,134,0,DC,
,134,1,DI,
,134,2,RANDOM,
,135,2,RANDOM,
,135,0,DC,
,135,1,RANDOM,
,136,1,DI,
,136,0,DI,
,136,2,DI,
,137,2,RANDOM,
,137,0,DI,
,137,1,DI,
,138,2,RANDOM,
,138,0,DI,
,138,1,RANDOM,
,139,2,RANDOM,
,139,1,RANDOM,
,139,0,RANDOM,
,140,2,CC,
,140,0,CC,
,140,1,CC,
,141,0,CC,
,141,2,CI,
,141,1,CC,
,142,2,DC,
,142,0,CC,
,142,1,CC,
,143,2,DI,
,143,1,CC,
,143,0,CC,
,144,2,RANDOM,
,144,1,CC,
,144,0,CC,
,145,0,CC,
,145,2,CI,
,145,1,CI,
,146,0,CC,
,146,1,CI,
,146,2,DC,
,147,1,CI,
,147,2,DI,
,147,0,CC,
,148,2,RANDOM,
,148,0,CC,
,148,1,CI,
,149,0,CC,
,149,1,DC,
,149,2,DC,
,150,0,CC,
,150,1,DC,
,150,2,DI,
,151,1,DC,
,151,2,RANDOM,
,151,0,CC,
,152,2,DI,
,152,0,CC,
,152,1,DI,
,153,1,DI,
,153,2,RANDOM,
,153,0,CC,
,154,0,CC,
,154,2,RANDOM,
,154,1,RANDOM,
,155,1,CI,
,155,2,CI,
,155,0,CI,
,156,1,CI,
,156,2,DC,
,156,0,CI,
,157,0,CI,
,157,2,DI,
,157,1,CI,
,158,1,CI,
,158,2,RANDOM,
,158,0,CI,
,159,2,DC,
,159,0,CI,
,159,1,DC,
,160,0,CI,
,160,2,DI,
,160,1,DC,
,161,0,CI,
,161,1,DC,
,161,2,RANDOM,
,162,0,CI,
,162,1,DI,
,162,2,DI,
,163,0,CI,
,163,1,DI,
,163,2,RANDOM,
,164,2,RANDOM,
,164,1,RANDOM,
,164,0,CI,
,165,1,DC,
,165,2,DC,
,165,0,DC,
,166,2,DI,
,166,1,DC,
,166,0,DC,
,167,0,DC,
,167,2,RANDOM,
,167,1,DC,
,168,2,DI,
,168,1,DI,
,168,0,DC,
,169,1,DI,
,169,0,DC,
,169,2,RANDOM,
,170,0,DC,
,170,2,RANDOM,
,170,1,RANDOM,
,171,2,DI,
,171,0,DI,
,171,1,DI,
,172,2,RANDOM,
,172,1,DI,
,172,0,DI,
,173,0,DI,
,173,2,RANDOM,
,173,1,RANDOM,
,174,0,RANDOM,
,174,1,RANDOM,
,174,2,RANDOM,
,175,2,CC,
,175,1,CC,
,175,0,CC,
,176,1,CC,
,176,0,CC,
,176,2,CI,
,177,2,DC,
,177,1,CC,
,177,0,CC,
,178,0,CC,
,178,1,CC,
,178,2,DI,
,179,2,RANDOM,
,179,0,CC,
,179,1,CC,
,180,2,CI,
,180,1,CI,
,180,0,CC,
,181,1,CI,
,181,0,CC,
,181,2,DC,
,182,1,CI,
,182,0,CC,
,182,2,DI,
,183,1,CI,
,183,0,CC,
,183,2,RANDOM,
,184,2,DC,
,184,0,CC,
,184,1,DC,
,185,1,DC,
,185,0,CC,
,185,2,DI,
,186,1,DC,
,186,2,RANDOM,
,186,0,CC,
,187,1,DI,
,187,2,DI,
,187,0,CC,
,188,2,RANDOM,
,188,1,DI,
,188,0,CC,
,189,0,CC,
,189,2,RANDOM,
,189,1,RANDOM,
,190,1,CI,
,190,2,CI,
,190,0,CI,
,191,1,CI,
,191,0,CI,
,191,2,DC,
,192,0,CI,
,192,1,CI,
,192,2,DI,
,193,0,CI,
,193,2,RANDOM,
,193,1,CI,
,194,2,DC,
,194,1,DC,
,194,0,CI,
,195,1,DC,
,195,0,CI,
,195,2,DI,
,196,2,RANDOM,
,196,1,DC,
,196,0,CI,
,197,0,CI,
,197,2,DI,
,197,1,DI,
,198,1,DI,
,198,0,CI,
,198,2,RANDOM,
,199,1,RANDOM,
,199,0,CI,
,199,2,RANDOM,
,200,0,DC,
,200,1,DC,
,200,2,DC,
,201,2,DI,
,201,0,DC,
,201,1,DC,
,202,1,DC,
,202,0,DC,
,202,2,RANDOM,
,203,1,DI,
,203,0,DC,
,203,2,DI,
,204,1,DI,
,204,0,DC,
,204,2,RANDOM,
,205,2,RANDOM,
,205,0,DC,
,205,1,RANDOM,
,206,0,DI,
,206,1,DI,
,206,2,DI,
,207,0,DI,
,207,1,DI,
,207,2,RANDOM,
,208,2,RANDOM,
,208,0,DI,
,208,1,RANDOM,
,209,0,RANDOM,
,209,2,RANDOM,
,209,1,RANDOM,
,210,2,CC,
