sessionId,gameId,roundId,playerId,condition,gameState,envState,playerEconState,playerName,playerType,playerInvestEcon,playerInvestEnv,playerInvHistEcon,playerInvHistEnv,strongestEmotionType,strongestEmotionIntensity,activeEmotions_Hate,activeEmotions_Reproach,activeEmotions_Shame,activeEmotions_Anger,activeEmotions_Remorse,activeEmotions_Distress,activeEmotions_Fear,activeEmotions_Disappointment,activeEmotions_FearConfirmed,activeEmotions_Pity,activeEmotions_Resentment,activeEmotions_Love,activeEmotions_Admiration,activeEmotions_Pride,activeEmotions_Gratitude,activeEmotions_Gratification,activeEmotions_Joy,activeEmotions_Hope,activeEmotions_Relief,activeEmotions_Satisfaction,activeEmotions_Gloating,activeEmotions_HappyFor,mood
"150400MEM['MCTS', 'RANDOM', 'RANDOM']",2,6,0,"['RANDOM_CMP', 'RANDOM', 'RANDOM']",NOT_FINISHED,0.1699999,0.06,RANDOM_CMP,AI-RANDOM,3,2,16,19,,,,,,,,,,,,,,,,,,,,,,,,,
"150400MEM['MCTS', 'RANDOM', 'RANDOM']",2,6,1,"['RANDOM_CMP', 'RANDOM', 'RANDOM']",NOT_FINISHED,0.1699999,0,RANDOM,AI-RANDOM,1,4,17,18,,,,,,,,,,,,,,,,,,,,,,,,,
"150400MEM['MCTS', 'RANDOM', 'RANDOM']",2,5,1,"['RANDOM_CMP', 'RANDOM', 'RANDOM']",NOT_FINISHED,0.1199999,0,RANDOM,AI-RANDOM,4,1,16,14,,,,,,,,,,,,,,,,,,,,,,,,,
"150400MEM['MCTS', 'RANDOM', 'RANDOM']",2,6,2,"['RANDOM_CMP', 'RANDOM', 'RANDOM']",NOT_FINISHED,0.1699999,0.2,RANDOM,AI-RANDOM,2,3,22,13,,,,,,,,,,,,,,,,,,,,,,,,,
"150400MEM['MCTS', 'RANDOM', 'RANDOM']",2,7,2,"['RANDOM_CMP', 'RANDOM', 'RANDOM']",NOT_FINISHED,0.2099999,0.27,RANDOM,AI-RANDOM,4,1,26,14,,,,,,,,,,,,,,,,,,,,,,,,,
"150400MEM['MCTS', 'RANDOM', 'RANDOM']",2,7,1,"['RANDOM_CMP', 'RANDOM', 'RANDOM']",NOT_FINISHED,0.2099999,0.07000001,RANDOM,AI-RANDOM,5,0,22,18,,,,,,,,,,,,,,,,,,,,,,,,,
"150400MEM['MCTS', 'RANDOM', 'RANDOM']",2,7,0,"['RANDOM_CMP', 'RANDOM', 'RANDOM']",NOT_FINISHED,0.2099999,0,RANDOM_CMP,AI-RANDOM,0,5,16,24,,,,,,,,,,,,,,,,,,,,,,,,,
"150400MEM['MCTS', 'RANDOM', 'RANDOM']",2,8,0,"['RANDOM_CMP', 'RANDOM', 'RANDOM']",NOT_FINISHED,0.02999985,0.02,RANDOM_CMP,AI-RANDOM,3,2,19,26,,,,,,,,,,,,,,,,,,,,,,,,,
"150400MEM['MCTS', 'RANDOM', 'RANDOM']",2,8,2,"['RANDOM_CMP', 'RANDOM', 'RANDOM']",NOT_FINISHED,0.02999985,0.21,RANDOM,AI-RANDOM,2,3,28,17,,,,,,,,,,,,,,,,,,,,,,,,,
"150400MEM['MCTS', 'RANDOM', 'RANDOM']",2,8,1,"['RANDOM_CMP', 'RANDOM', 'RANDOM']",NOT_FINISHED,0.02999985,0.08000001,RANDOM,AI-RANDOM,5,0,27,18,,,,,,,,,,,,,,,,,,,,,,,,,
