sessionId,gameId,roundId,playerId,condition,gameState,envState,playerEconState,playerType,playerInvestEcon,playerInvestEnv,playerInvHistEcon,playerInvHistEnv,strongestEmotionType,strongestEmotionIntensity,activeEmotions_Hate,activeEmotions_Reproach,activeEmotions_Shame,activeEmotions_Anger,activeEmotions_Remorse,activeEmotions_Distress,activeEmotions_Fear,activeEmotions_Disappointment,activeEmotions_FearConfirmed,activeEmotions_Pity,activeEmotions_Resentment,activeEmotions_Love,activeEmotions_Admiration,activeEmotions_Pride,activeEmotions_Gratitude,activeEmotions_Gratification,activeEmotions_Joy,activeEmotions_Hope,activeEmotions_Relief,activeEmotions_Satisfaction,activeEmotions_Gloating,activeEmotions_HappyFor,mood
"151153NAR['CC', 'CC', 'CI']",1,9,0,"['CC', 'CC', 'CI']",NOT_FINISHED,0.00999999,0,AI-EMOTIONAL-CONSTRUCTIVE-COLLECTIVIST,2,3,26,24,Reproach,2.55,0.00,2.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.80,0.00,0.00,0.00,0.00,0.00,-3.86
"151153NAR['CC', 'CC', 'CI']",1,8,0,"['CC', 'CC', 'CI']",NOT_FINISHED,0.07999998,0.02,AI-EMOTIONAL-CONSTRUCTIVE-COLLECTIVIST,3,2,24,21,Reproach,2.45,0.00,2.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.90,0.00,0.00,0.00,0.00,0.00,-3.44
"151153NAR['CC', 'CC', 'CI']",1,8,2,"['CC', 'CC', 'CI']",NOT_FINISHED,0.07999998,0.6200001,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,5,0,35,10,Admiration,4.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.32,0.00,0.00,0.00,4.07,2.80,0.00,0.00,0.00,0.00,9.66
"151153NAR['CC', 'CC', 'CI']",1,9,1,"['CC', 'CC', 'CI']",NOT_FINISHED,0.00999999,0.03,AI-EMOTIONAL-CONSTRUCTIVE-COLLECTIVIST,2,3,22,28,Reproach,2.55,0.00,2.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.80,0.00,0.00,0.00,0.00,0.00,-3.86
"151153NAR['CC', 'CC', 'CI']",1,10,0,"['CC', 'CC', 'CI']",NOT_FINISHED,0.09999999,0,AI-EMOTIONAL-CONSTRUCTIVE-COLLECTIVIST,1,4,27,28,Reproach,2.67,0.00,2.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.70,0.00,0.00,0.00,0.00,0.00,-4.33
"151153NAR['CC', 'CC', 'CI']",1,10,2,"['CC', 'CC', 'CI']",NOT_FINISHED,0.09999999,0.83,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,5,0,45,10,Admiration,4.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.32,0.00,0.00,0.00,4.07,2.80,0.00,0.00,0.00,0.00,9.66
"151153NAR['CC', 'CC', 'CI']",1,10,1,"['CC', 'CC', 'CI']",NOT_FINISHED,0.09999999,0,AI-EMOTIONAL-CONSTRUCTIVE-COLLECTIVIST,0,5,22,33,Reproach,2.67,0.00,2.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.70,0.00,0.00,0.00,0.00,0.00,-4.33
"151153NAR['CC', 'CC', 'CI']",1,11,1,"['CC', 'CC', 'CI']",NOT_FINISHED,0.18,0,AI-EMOTIONAL-CONSTRUCTIVE-COLLECTIVIST,0,5,22,38,Reproach,2.80,0.00,2.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.58,0.00,0.00,0.00,0.00,0.00,-4.87
"151153NAR['CC', 'CC', 'CI']",1,11,2,"['CC', 'CC', 'CI']",NOT_FINISHED,0.18,0.89,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,5,0,50,10,Admiration,4.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.32,0.00,0.00,0.00,4.07,2.80,0.00,0.00,0.00,0.00,9.66
"151153NAR['CC', 'CC', 'CI']",1,11,0,"['CC', 'CC', 'CI']",NOT_FINISHED,0.18,0,AI-EMOTIONAL-CONSTRUCTIVE-COLLECTIVIST,1,4,28,32,Reproach,2.80,0.00,2.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.58,0.00,0.00,0.00,0.00,0.00,-4.87
