sessionId,currGameId,condition,outcome,env_state,playerId,pos,type,econ_state,econ_history_perc,env_history_perc,num_played_rounds
"052106CZK['CC', 'CC', 'CI']",22,"['CI', 'DI', 'DI']",VICTORY,0.71,1,0,AI-EMOTIONAL-DISRUPTIVE-INDIVIDUALISTIC,0.02,31,474,101
"052106CZK['CC', 'CC', 'CI']",22,"['CI', 'DI', 'DI']",VICTORY,0.71,0,1,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,0,26,479,101
"052106CZK['CC', 'CC', 'CI']",22,"['CI', 'DI', 'DI']",VICTORY,0.71,2,2,AI-EMOTIONAL-DISRUPTIVE-INDIVIDUALISTIC,0,24,481,101
"052106CZK['CC', 'CC', 'CI']",23,"['CI', 'DI', 'RANDOM']",VICTORY,0.75,0,2,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,0,37,468,101
"052106CZK['CC', 'CC', 'CI']",23,"['CI', 'DI', 'RANDOM']",VICTORY,0.75,2,0,AI-RANDOM,0.7299999,254,251,101
"052106CZK['CC', 'CC', 'CI']",23,"['CI', 'DI', 'RANDOM']",VICTORY,0.75,1,1,AI-EMOTIONAL-DISRUPTIVE-INDIVIDUALISTIC,0,26,479,101
"052106CZK['CC', 'CC', 'CI']",24,"['CI', 'RANDOM', 'RANDOM']",LOSS,0,1,1,AI-RANDOM,0.4100001,45,40,17
"052106CZK['CC', 'CC', 'CI']",24,"['CI', 'RANDOM', 'RANDOM']",LOSS,0,0,0,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,0.94,77,8,17
"052106CZK['CC', 'CC', 'CI']",24,"['CI', 'RANDOM', 'RANDOM']",LOSS,0,2,2,AI-RANDOM,0.2500001,35,50,17
"052106CZK['CC', 'CC', 'CI']",25,"['DC', 'DC', 'DC']",LOSS,0,1,2,AI-EMOTIONAL-DISRUPTIVE-COLLECTIVIST,0.45,24,11,7
"052106CZK['CC', 'CC', 'CI']",25,"['DC', 'DC', 'DC']",LOSS,0,2,0,AI-EMOTIONAL-DISRUPTIVE-COLLECTIVIST,0.67,27,8,7
"052106CZK['CC', 'CC', 'CI']",25,"['DC', 'DC', 'DC']",LOSS,0,0,1,AI-EMOTIONAL-DISRUPTIVE-COLLECTIVIST,0.51,21,14,7
"052106CZK['CC', 'CC', 'CI']",26,"['DC', 'DC', 'DI']",VICTORY,0.74,2,0,AI-EMOTIONAL-DISRUPTIVE-INDIVIDUALISTIC,0.95,479,26,101
"052106CZK['CC', 'CC', 'CI']",26,"['DC', 'DC', 'DI']",VICTORY,0.74,1,1,AI-EMOTIONAL-DISRUPTIVE-COLLECTIVIST,0,28,477,101
"052106CZK['CC', 'CC', 'CI']",26,"['DC', 'DC', 'DI']",VICTORY,0.74,0,2,AI-EMOTIONAL-DISRUPTIVE-COLLECTIVIST,0,25,480,101
"052106CZK['CC', 'CC', 'CI']",27,"['DC', 'DC', 'RANDOM']",LOSS,0,2,2,AI-RANDOM,0.2,20,30,10
"052106CZK['CC', 'CC', 'CI']",27,"['DC', 'DC', 'RANDOM']",LOSS,0,1,0,AI-EMOTIONAL-DISRUPTIVE-COLLECTIVIST,0.64,36,14,10
"052106CZK['CC', 'CC', 'CI']",27,"['DC', 'DC', 'RANDOM']",LOSS,0,0,1,AI-EMOTIONAL-DISRUPTIVE-COLLECTIVIST,0.4999999,32,18,10
"052106CZK['CC', 'CC', 'CI']",28,"['DC', 'DI', 'DI']",VICTORY,0.81,1,1,AI-EMOTIONAL-DISRUPTIVE-INDIVIDUALISTIC,0,29,476,101
"052106CZK['CC', 'CC', 'CI']",28,"['DC', 'DI', 'DI']",VICTORY,0.81,2,2,AI-EMOTIONAL-DISRUPTIVE-INDIVIDUALISTIC,0,24,481,101
