currSessionId,currGameId,currGameCondition,currGameRoundId,currGamePhase,playerId,playerType,mood
"052106CZK['CC', 'CC', 'CI']",1,"['CC', 'CC', 'CC']",0,BUDGET_ALLOCATION,0,AI-EMOTIONAL-CONSTRUCTIVE-COLLECTIVIST,0.59
"052106CZK['CC', 'CC', 'CI']",1,"['CC', 'CC', 'CC']",0,BUDGET_ALLOCATION,1,AI-EMOTIONAL-CONSTRUCTIVE-COLLECTIVIST,0.59
"052106CZK['CC', 'CC', 'CI']",1,"['CC', 'CC', 'CC']",0,BUDGET_ALLOCATION,2,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,0.59
"052106CZK['CC', 'CC', 'CI']",1,"['CC', 'CC', 'CC']",2,BUDGET_ALLOCATION,1,AI-EMOTIONAL-CONSTRUCTIVE-COLLECTIVIST,-4.70
"052106CZK['CC', 'CC', 'CI']",1,"['CC', 'CC', 'CC']",1,BUDGET_ALLOCATION,0,AI-EMOTIONAL-CONSTRUCTIVE-COLLECTIVIST,-2.41
"052106CZK['CC', 'CC', 'CI']",1,"['CC', 'CC', 'CC']",1,BUDGET_ALLOCATION,1,AI-EMOTIONAL-CONSTRUCTIVE-COLLECTIVIST,-2.41
"052106CZK['CC', 'CC', 'CI']",1,"['CC', 'CC', 'CC']",1,BUDGET_ALLOCATION,2,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,2.12
"052106CZK['CC', 'CC', 'CI']",1,"['CC', 'CC', 'CC']",2,BUDGET_ALLOCATION,0,AI-EMOTIONAL-CONSTRUCTIVE-COLLECTIVIST,-4.70
"052106CZK['CC', 'CC', 'CI']",1,"['CC', 'CC', 'CC']",2,BUDGET_ALLOCATION,2,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,5.49
"052106CZK['CC', 'CC', 'CI']",1,"['CC', 'CC', 'CC']",3,BUDGET_ALLOCATION,0,AI-EMOTIONAL-CONSTRUCTIVE-COLLECTIVIST,-7.69
"052106CZK['CC', 'CC', 'CI']",1,"['CC', 'CC', 'CC']",3,BUDGET_ALLOCATION,1,AI-EMOTIONAL-CONSTRUCTIVE-COLLECTIVIST,-7.69
"052106CZK['CC', 'CC', 'CI']",1,"['CC', 'CC', 'CC']",3,BUDGET_ALLOCATION,2,AI-EMOTIONAL-CONSTRUCTIVE-INDIVIDUALISTIC,9.89
