sessionId,gameId,roundId,playerId,condition,gameState,envState,playerEconState,playerName,playerType,playerInvestEcon,playerInvestEnv,playerInvHistEcon,playerInvHistEnv,strongestEmotionType,strongestEmotionIntensity,activeEmotions_Hate,activeEmotions_Reproach,activeEmotions_Shame,activeEmotions_Anger,activeEmotions_Remorse,activeEmotions_Distress,activeEmotions_Fear,activeEmotions_Disappointment,activeEmotions_FearConfirmed,activeEmotions_Pity,activeEmotions_Resentment,activeEmotions_Love,activeEmotions_Admiration,activeEmotions_Pride,activeEmotions_Gratitude,activeEmotions_Gratification,activeEmotions_Joy,activeEmotions_Hope,activeEmotions_Relief,activeEmotions_Satisfaction,activeEmotions_Gloating,activeEmotions_HappyFor,"mood"
"240130BRS['RANDOM_CMP', 'BALANCED-DEFECTOR', 'BALANCED-DEFECTOR']",2,1,2,"['MCTS', 'BALANCED-COOPERATOR', 'BALANCED-COOPERATOR']",NOT_FINISHED,0.18,0,BALANCED-COOPERATOR,AI-BALANCED-COOPERATOR,2,3,4,6,,,,,,,,,,,,,,,,,,,,,,,,,
"240130BRS['RANDOM_CMP', 'BALANCED-DEFECTOR', 'BALANCED-DEFECTOR']",2,2,0,"['MCTS', 'BALANCED-COOPERATOR', 'BALANCED-COOPERATOR']",NOT_FINISHED,0.12,0.21,MCTS_VS_COOP,AI-MCTS,5,0,6,9,,,,,,,,,,,,,,,,,,,,,,,,,
"240130BRS['RANDOM_CMP', 'BALANCED-DEFECTOR', 'BALANCED-DEFECTOR']",2,2,1,"['MCTS', 'BALANCED-COOPERATOR', 'BALANCED-COOPERATOR']",NOT_FINISHED,0.12,0.06999999,BALANCED-COOPERATOR,AI-BALANCED-COOPERATOR,2,3,6,9,,,,,,,,,,,,,,,,,,,,,,,,,
"240130BRS['RANDOM_CMP', 'BALANCED-DEFECTOR', 'BALANCED-DEFECTOR']",2,2,2,"['MCTS', 'BALANCED-COOPERATOR', 'BALANCED-COOPERATOR']",NOT_FINISHED,0.12,0,BALANCED-COOPERATOR,AI-BALANCED-COOPERATOR,2,3,6,9,,,,,,,,,,,,,,,,,,,,,,,,,
"240130BRS['RANDOM_CMP', 'BALANCED-DEFECTOR', 'BALANCED-DEFECTOR']",2,3,0,"['MCTS', 'BALANCED-COOPERATOR', 'BALANCED-COOPERATOR']",NOT_FINISHED,0.05000001,0.24,MCTS_VS_COOP,AI-MCTS,3,2,8,12,,,,,,,,,,,,,,,,,,,,,,,,,
"240130BRS['RANDOM_CMP', 'BALANCED-DEFECTOR', 'BALANCED-DEFECTOR']",2,3,1,"['MCTS', 'BALANCED-COOPERATOR', 'BALANCED-COOPERATOR']",NOT_FINISHED,0.05000001,0.02999999,BALANCED-COOPERATOR,AI-BALANCED-COOPERATOR,2,3,8,12,,,,,,,,,,,,,,,,,,,,,,,,,
"240130BRS['RANDOM_CMP', 'BALANCED-DEFECTOR', 'BALANCED-DEFECTOR']",2,3,2,"['MCTS', 'BALANCED-COOPERATOR', 'BALANCED-COOPERATOR']",NOT_FINISHED,0.05000001,0,BALANCED-COOPERATOR,AI-BALANCED-COOPERATOR,2,3,8,12,,,,,,,,,,,,,,,,,,,,,,,,,
"240130BRS['RANDOM_CMP', 'BALANCED-DEFECTOR', 'BALANCED-DEFECTOR']",2,4,0,"['MCTS', 'BALANCED-COOPERATOR', 'BALANCED-COOPERATOR']",NOT_FINISHED,0.21,0.15,MCTS_VS_COOP,AI-MCTS,1,4,10,15,,,,,,,,,,,,,,,,,,,,,,,,,
"240130BRS['RANDOM_CMP', 'BALANCED-DEFECTOR', 'BALANCED-DEFECTOR']",2,4,1,"['MCTS', 'BALANCED-COOPERATOR', 'BALANCED-COOPERATOR']",NOT_FINISHED,0.21,0,BALANCED-COOPERATOR,AI-BALANCED-COOPERATOR,2,3,10,15,,,,,,,,,,,,,,,,,,,,,,,,,
"240130BRS['RANDOM_CMP', 'BALANCED-DEFECTOR', 'BALANCED-DEFECTOR']",2,4,2,"['MCTS', 'BALANCED-COOPERATOR', 'BALANCED-COOPERATOR']",NOT_FINISHED,0.21,0,BALANCED-COOPERATOR,AI-BALANCED-COOPERATOR,2,3,10,15,,,,,,,,,,,,,,,,,,,,,,,,,
"240130BRS['RANDOM_CMP', 'BALANCED-DEFECTOR', 'BALANCED-DEFECTOR']",2,5,0,"['MCTS', 'BALANCED-COOPERATOR', 'BALANCED-COOPERATOR']",NOT_FINISHED,0.06,0.05000004,MCTS_VS_COOP,AI-MCTS,1,4,12,18,,,,,,,,,,,,,,,,,,,,,,,,,
"240130BRS['RANDOM_CMP', 'BALANCED-DEFECTOR', 'BALANCED-DEFECTOR']",2,5,1,"['MCTS', 'BALANCED-COOPERATOR', 'BALANCED-COOPERATOR']",NOT_FINISHED,0.06,0.009999998,BALANCED-COOPERATOR,AI-BALANCED-COOPERATOR,2,3,12,18,,,,,,,,,,,,,,,,,,,,,,,,,
"240130BRS['RANDOM_CMP', 'BALANCED-DEFECTOR', 'BALANCED-DEFECTOR']",2,5,2,"['MCTS', 'BALANCED-COOPERATOR', 'BALANCED-COOPERATOR']",NOT_FINISHED,0.06,0,BALANCED-COOPERATOR,AI-BALANCED-COOPERATOR,2,3,12,18,,,,,,,,,,,,,,,,,,,,,,,,,
